j;x_m;z_m;q_flux_W_m2;Q_total_W;T_fluido_C;T_superficie_C;T_revestimento_C;T_interface_C;T_combustivel_max_C;h_W_m2K;Re;Pr;T_sat_C;margem_sat_C
24;0.05249999999999999;0.3525;283107.02875399357;531.675;39.28728626134061;67.84727933472321;68.14611453174132;68.44494972875941;69.68355721210158;9912.713494943564;14347.095019119179;4.366002987035851;112.11934870372664;72.83206244238603
25;0.0675;0.3675;283107.02875399357;531.675;39.674699914156086;68.13674638073564;68.43558157775375;68.73441677477184;69.97327208947554;9946.826173811625;14453.90960755063;4.329794951188273;112.06945858164994;72.39475866749385
26;0.08250000000000002;0.3825;283107.02875399357;531.675;40.06214338178622;68.42700273013824;68.72583792715635;69.02467312417446;70.26377704565745;9980.907194960804;14561.04454137235;4.294052308760056;112.019499680313;71.95735629852678
27;0.09749999999999998;0.39749999999999996;283107.02875399357;531.675;40.4496160430398;68.71803998860857;69.01687518562667;69.31571038264477;70.55506368000486;10014.956238775309;14668.498155902153;4.2587675298871535;111.9694717877403;71.5198557447005
28;0.11249999999999999;0.4125;283107.02875399357;531.675;40.83711728148441;69.00984986852248;69.30868506554057;69.60752026255868;70.84712369865699;10048.972987599858;14776.268785232141;4.22393322937168;111.91937469094512;71.08225740946071
29;0.1275;0.4275;283107.02875399357;531.675;41.2246464854619;69.30242418737792;69.60125938439602;69.90009458141412;71.13994891295728;10082.957125723666;14884.354762368277;4.189542163485982;111.86920817592238;70.64456169046048
30;0.14250000000000002;0.4425;283107.02875399357;531.675;41.612203048103694;69.59575486624733;69.89459006326543;70.19342526028353;71.43353123790388;10116.90833936455;14992.754419368568;4.155587226856071;111.81897202764304;70.20676897953935
31;0.15749999999999997;0.45749999999999996;283107.02875399357;531.675;41.999786367345685;69.88983392825796;70.18866912527606;70.48750432229416;71.7278626906295;10150.826316653061;15101.466087479412;4.122061449422382;111.76866603004669;69.76887966270101
32;0.1725;0.4725;283107.02875399357;531.675;42.38739584594297;70.18465349709976;70.48348869411787;70.78232389113597;72.02293538890719;10184.710747616751;15210.488097270685;4.088957993475592;111.71828996603517;69.33089412009221
33;0.1875;0.4875;283107.02875399357;531.675;42.77503089148428;70.48020579556004;70.77904099257815;71.07787618959625;72.31874154968479;10218.561324164475;15319.818778769015;4.056270150765553;111.66784361746568;68.8928127259814
34;0.20249999999999996;0.5025;283107.02875399357;531.675;43.162690916406156;70.77648314408447;71.07531834110256;71.37415353812067;72.61527348764488;10252.377740070851;15429.456461589734;4.023991339681254;111.61732676514424;68.45463584873809
35;0.21749999999999997;0.5175;283107.02875399357;531.675;43.55037533800687;71.07347795936377;71.37231315638188;71.67114835339999;72.91252361378936;10286.15969096073;15539.399475067123;3.9921151024999606;111.56673918881836;68.01636385081149
36;0.23249999999999998;0.5325;283107.02875399357;531.675;43.93808357846009;71.3711827529459;71.67001794996399;71.9688531469821;73.21048443405141;10319.906874293798;15649.646148383224;3.960635102703581;111.5160806671708;67.5779970887107
37;0.2475;0.5475;283107.02875399357;531.675;44.32581506482826;71.66959012987266;71.96842532689077;72.26726052390887;73.50914854792995;10353.618989349241;15760.194810695068;3.9295451223604836;111.46535097781162;67.13953591298336
38;0.2625;0.5625;283107.02875399357;531.675;44.71356922907577;71.96869278734076;72.26752798435885;72.56636318137696;73.80850864715111;10387.295737210521;15871.043791260388;3.8988390595709848;111.41454989727242;66.70098066819665
39;0.2775;0.5775;283107.02875399357;531.675;45.101345508081835;72.26848351338644;72.56731871040455;72.86615390742264;74.10855751435062;10420.936820750176;15982.191419561761;3.868510925974795;111.36367720099781;66.26233169291598
40;0.29250000000000004;0.5925;283107.02875399357;531.675;45.48914334365313;72.56895518559355;72.86779038261166;73.16662557962975;74.40928802178227;10454.54194461479;16093.636025429378;3.8385548443187125;111.31273266333955;65.82358931968642
