j;x_m;z_m;q_flux_W_m2;Q_total_W;T_fluido_C;T_superficie_C;T_revestimento_C;T_interface_C;T_combustivel_max_C;h_W_m2K;Re;Pr;T_sat_C;margem_sat_C
1;-0.24375;0.0062500000000000056;83333.33333333334;125.00000000000001;30.1008594327698;40.17528074361352;40.29102148435426;40.406762225095;40.87691392529222;8271.773709090023;11043.40376147925;5.3839504886713545;111.31273266333955;81.21187323056975
2;-0.23125;0.01874999999999999;83333.33333333334;125.00000000000001;30.20172204246698;40.26610070742571;40.38184144816645;40.49758218890719;40.96776601711364;8280.02762092766;11067.262070249239;5.370861956693101;111.2617160575486;81.05999401508161
3;-0.21875;0.03125;83333.33333333334;125.00000000000001;30.3025878160322;40.356945578708576;40.472686319449316;40.58842706019006;41.05864302961072;8288.280097082086;11091.14313204677;5.3578214636051555;111.21062715576801;80.90803933973581
4;-0.20625;0.04375000000000001;83333.33333333334;125.00000000000001;30.403456740425913;40.44781528164967;40.56355602239041;40.67929676313115;41.14954488694871;8296.531131512196;11115.046920752467;5.344828788469348;111.15946572902556;80.75600898859965
5;-0.19375;0.056249999999999994;83333.33333333334;125.00000000000001;30.504328802628418;40.538709740687175;40.654450481427915;40.770191222168656;41.24047151354355;8304.780718186983;11138.973410224331;5.331883711552336;111.10823154722652;80.6039027445981
6;-0.18125;0.06875;83333.33333333334;125.00000000000001;30.605203989639868;40.629628880508854;40.745369621249594;40.861110361990335;41.33142283406083;8313.02885108549;11162.922574297847;5.318986014318091;111.05692437914615;80.45172038950628
7;-0.16875;0.08124999999999999;83333.33333333334;125.00000000000001;30.706082288480314;40.72057262605109;40.83631336679183;40.95205410753257;41.422398773414876;8321.275524196833;11186.894386786335;5.306135479420326;111.0055439924219;80.29946170394159
8;-0.15625;0.09375;83333.33333333334;125.00000000000001;30.80696368618972;40.81154090249794;40.92728164323868;41.04302238397942;41.51339925676773;8329.52073152014;11210.888821480994;5.293331890695126;110.95409015354636;80.14712646735664
9;-0.14375;0.10625000000000001;83333.33333333334;125.00000000000001;30.907848169828;40.902533635280115;41.018274376020855;41.134015116761596;41.60442420952817;8337.764467064568;11234.905852151245;5.280575033153504;110.90256262785903;79.99471445803103
10;-0.13124999999999998;0.11875000000000002;83333.33333333334;125.00000000000001;31.008735726475035;40.99355075007408;41.10929149081482;41.22503223155556;41.695473557350795;8346.00672484924;11258.94545254479;5.267864692974107;110.85096117953901;79.84222545306397
11;-0.11875;0.13125;83333.33333333334;125.00000000000001;31.109626343230705;41.08459217280102;41.20033291354176;41.3160736542825;41.78654722613502;8354.247498903269;11283.007596387959;5.25520065749587;110.7992855715973;79.6896592283666
12;-0.10624999999999998;0.14375000000000002;83333.33333333334;125.00000000000001;31.210520007214924;41.17565782962593;41.29139857036668;41.40713931110742;41.87764514202415;8362.486783265713;11307.092257385764;5.242582715210847;110.74753556586847;79.53701555865355
13;-0.09375;0.15625;83333.33333333334;125.00000000000001;31.311416705567645;41.26674764695669;41.38248838769743;41.49822912843817;41.96876723140439;8370.724571985558;11331.19940922222;5.2300106557569634;110.69571092300322;79.38429421743558
14;-0.08124999999999999;0.16875;83333.33333333334;125.00000000000001;31.412316425448914;41.35786155144304;41.47360229218378;41.58934303292452;42.05991342090396;8378.960859121702;11355.329025560468;5.217484269910911;110.64381140246024;79.23149497701132
15;-0.06874999999999998;0.18125000000000002;83333.33333333334;125.00000000000001;31.513219154038875;41.4489994699757;41.564740210716444;41.680480951457184;42.151083637392084;8387.195638742938;11379.481080043;5.205003349581069;110.59183676249819;79.07861760845931
16;-0.056249999999999994;0.19375;83333.33333333334;125.00000000000001;31.614124878537805;41.54016132968547;41.65590207042621;41.77164281116695;42.24227780797815;8395.428904927927;11403.655546291842;5.192567687800452;110.53978676016749;78.92566188162968
17;-0.04374999999999998;0.20625000000000002;83333.33333333334;125.00000000000001;31.715033586166143;41.63134705794218;41.74708779868292;41.86282853942366;42.33349586001065;8403.660651765194;11427.852397908806;5.180177078719707;110.48766115130235;78.7726275651362
18;-0.03125;0.21875;83333.33333333334;125.00000000000001;31.81594526416451;41.72255658235388;41.83829732309462;41.95403806383536;42.42473772107637;8411.890873353064;11452.071608475566;5.167831317600229;110.43545969051235;78.61951442634783
19;-0.01874999999999999;0.23125;83333.33333333334;125.00000000000001;31.916859899793742;41.81378983076586;41.929530571506604;42.045271312247344;42.51600331899941;8420.119563799719;11476.313151553995;5.155530200807216;110.38318213117412;78.46632223138039
20;-0.006249999999999978;0.24375000000000002;83333.33333333334;125.00000000000001;32.017777480334914;41.905046731259766;42.02078747200051;42.13652821274125;42.60729258184029;8428.3467172231;11500.577000686262;5.143273525802851;110.33082822542309;78.31305074508818
21;0.006250000000000033;0.25625000000000003;83333.33333333334;125.00000000000001;32.11869799308935;41.99632721215263;42.11206795289337;42.22780869363412;42.69860543789501;8436.572327750937;11524.86312939507;5.131061091139518;110.27839772414501;78.15969973105567
22;0.01874999999999999;0.26875;83333.33333333334;125.00000000000001;32.21962142537869;42.08763120199606;42.2033719427368;42.31911268347754;42.789941815694185;8444.796389520705;11549.17151118383;5.118892696453031;110.22589037696713;78.00626895158844
23;0.03125;0.28125;83333.33333333334;125.00000000000001;32.32054776454486;42.17895862957522;42.29469937031596;42.4104401110567;42.881301644002086;8453.01889667962;11573.50211953687;5.106768142455957;110.17330593225;77.85275816770513
24;0.04375000000000001;0.29375;83333.33333333334;125.00000000000001;32.42147699795015;42.27030942390805;42.38605016464879;42.501790905389534;42.97268485181581;8461.239843384617;11597.854927919649;5.094687230930942;110.12064413707861;77.69916713912846
25;0.05625000000000002;0.30625;83333.33333333334;125.00000000000001;32.522409112977215;42.36168351424428;42.47742425498502;42.59316499572576;43.06409136836432;8469.459223802323;11622.229909778896;5.082649764724126;110.06790473725346;77.54549562427624
26;0.06875000000000003;0.31875000000000003;83333.33333333334;125.00000000000001;32.62334409702908;42.45308083006457;42.56882157080531;42.68456231154605;43.15552112310762;8477.677032109028;11646.627038542818;5.0706555477385775;110.01508747728207;77.39174338025299
27;0.08125000000000004;0.33125000000000004;83333.33333333334;125.00000000000001;32.72428193752923;42.54450130107966;42.6602420418204;42.775982782561144;43.2469740457358;8485.893262490694;11671.04628762135;5.058704384927748;109.96219210036969;77.23791016284046
28;0.09375;0.34375;83333.33333333334;125.00000000000001;32.82522262192154;42.63594485722946;42.7516855979702;42.86742633871095;43.33845006616821;8494.10790914292;11695.487630406276;5.046796082289056;109.90921834841083;77.08399572648929
29;0.10625000000000001;0.35625;83333.33333333334;125.00000000000001;32.92616613767041;42.72741142868216;42.8431521694229;42.95889291016364;43.42994911455258;8502.320966270918;11719.951040271471;5.034930446857407;109.85616596197957;76.92999982430916
30;0.11875000000000002;0.36875;83333.33333333334;125.00000000000001;33.02711247226068;42.818900945833384;42.934641686574125;43.050382427314865;43.521471121264106;8510.532428089487;11744.436490573018;5.023107286698865;109.80303468032076;76.77592220806008
